"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"83b1f72e-6dd5-3538-89dd-b10e57016fbf","Star Wars: The Force Awakens",2015,"https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens",278,"93%","84%"
"a50a127d-e1cb-373d-8f20-4999b7186c77","Roman Holiday",1953,"https://www.rottentomatoes.com/m/roman_holiday",279,"96%","93%"
"30c6fd6b-7da7-333d-9be0-005103c2a3d3","Amélie",2001,"https://www.rottentomatoes.com/m/amelie",280,"90%","95%"
"bd1b0cd8-1ad4-3ae0-a486-4ef8229a9cfa","To Be or Not to Be",1942,"https://www.rottentomatoes.com/m/to_be_or_not_to_be",281,"96%","93%"
"f1efa382-320c-309b-b4dd-070b99af6349","All the President's Men",1976,"https://www.rottentomatoes.com/m/all_the_presidents_men",282,"94%","92%"
"77bc0c7d-7fa0-389a-9715-e3760c829f0a","Throne of Blood",1957,"https://www.rottentomatoes.com/m/throne_of_blood",283,"96%","93%"
"993b9b59-ddb6-3102-9e25-07da7d9338a8","Taxi Driver",1976,"https://www.rottentomatoes.com/m/taxi_driver",284,"89%","93%"
"5262e09f-76e7-36c6-a804-9bd8a6d252b3","The Big Sleep",1946,"https://www.rottentomatoes.com/m/1002352-big_sleep",285,"96%","91%"
"f362b9f5-57e0-3021-a310-ececbcf2f49f","Marvel's the Avengers",2012,"https://www.rottentomatoes.com/m/marvels_the_avengers",286,"91%","91%"
"8dba6b0a-f663-3530-b085-b7913009ede7","Secrets & Lies",1996,"https://www.rottentomatoes.com/m/secrets_and_lies",287,"96%","91%"
"48dedda4-ac2f-3ebf-9432-dcd42eb37521","Dog Day Afternoon",1975,"https://www.rottentomatoes.com/m/dog_day_afternoon",288,"96%","90%"
"f312c634-a621-3f33-8c6b-98ef9980dbe8","Being There",1979,"https://www.rottentomatoes.com/m/being_there",289,"95%","92%"
"de8ac79a-f096-3eee-a312-13aa98115efe","Aguirre: The Wrath of God",1972,"https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god",290,"96%","91%"
"7475c7be-5ac6-3f6d-992e-9be0d1d7ecdb","Arrival",2016,"https://www.rottentomatoes.com/m/arrival_2016",291,"94%","82%"
"22dbdeaa-bc3c-378f-8d61-a58e30d43b25","Wings of Desire",1987,"https://www.rottentomatoes.com/m/wings_of_desire",292,"95%","93%"
"5e3ba06e-652d-3bd5-93fc-e366f95da2d6","Raging Bull",1980,"https://www.rottentomatoes.com/m/raging_bull",293,"92%","93%"
"77f19acc-aac9-3385-a97c-7fd0c9747977","Fruitvale Station",2013,"https://www.rottentomatoes.com/m/fruitvale_station",294,"94%","87%"
"396e1190-3550-317a-bb0c-5308655b3f22","La Dolce Vita",1960,"https://www.rottentomatoes.com/m/la_dolce_vita",295,"95%","90%"
"144420f9-e23e-3dde-acbd-58a322954fc0","Beauty and the Beast",1946,"https://www.rottentomatoes.com/m/1001902-beauty_and_the_beast",296,"96%","90%"
"db9832af-407b-3c36-85c8-f1d99f614963","The Killing",1956,"https://www.rottentomatoes.com/m/killing",297,"96%","92%"
"d0a2f686-cfc7-3d53-96b2-edca9b003757","The Rules of the Game",1939,"https://www.rottentomatoes.com/m/the_rules_of_the_game",298,"97%","89%"
